Compare Chips
Standard	L	a	b	Sample	L	a	b		deltaE	deltaE-CIE94	deltaE-CMC1:1	deltaE-CMC2:1	deltaE-CIE2000
aqua	74.300	-7.974	-0.885	aqua	74.300	-7.974	-0.885		0.000	0.000	0.000	0.000	0.000
avocado	57.000	-18.695	22.900	avocado	57.000	-18.695	22.900		0.000	0.000	0.000	0.000	0.000
cloud	71.599	-9.970	0.050	cloud	71.599	-9.970	0.050		0.000	0.000	0.000	0.000	0.000
dark_avocado	45.950	-15.725	14.000	dark_avocado	45.950	-15.725	14.000		0.000	0.000	0.000	0.000	0.000
light_indigo	55.900	-11.757	-14.817	light_indigo	55.900	-11.757	-14.817		0.000	0.000	0.000	0.000	0.000
lightindidohalfdarker	52.000	-11.755	-14.818	lightindidohalfdarker	52.000	-11.755	-14.818		0.000	0.000	0.000	0.000	0.000
lightindigohalfstrength	62.200	-11.321	-14.275	lightindigohalfstrength	62.200	-11.321	-14.275		0.000	0.000	0.000	0.000	0.000
lovat	74.200	-6.495	3.608	lovat	74.200	-6.495	3.608		0.000	0.000	0.000	0.000	0.000
moss	62.099	-15.976	24.450	moss	62.099	-15.976	24.450		0.000	0.000	0.000	0.000	0.000
peach	55.528	24.533	29.950	peach	55.528	24.533	29.950		0.000	0.000	0.000	0.000	0.000
smoke	63.100	-10.893	1.729	smoke	63.100	-10.893	1.729		0.000	0.000	0.000	0.000	0.000
soft_raspberry	61.099	30.792	11.390	soft_raspberry	61.099	30.792	11.390		0.000	0.000	0.000	0.000	0.000
softpeach	63.850	15.752	27.307	softpeach	63.850	15.752	27.307		0.000	0.000	0.000	0.000	0.000
verysoftduckegg	73.600	-6.650	4.846	verysoftduckegg	73.600	-6.650	4.846		0.000	0.000	0.000	0.000	0.000
woad	72.699	-10.069	-14.958	woad	72.699	-10.069	-14.958		0.000	0.000	0.000	0.000	0.000

								Mean: 	0.000	0.000	0.000	0.000	0.000
								Median: 	0.000	0.000	0.000	0.000	0.000
								 Max: 	0.000	0.000	0.000	0.000	0.000
